ml_dataset_index,pista_raw,responsável,1-jogo-de-palavras-anagrama-cacofonia,2-ref-visual-observavel-team-rua,3-criptografia,4-ref-historica-mitologia,5-cultura-pop-conhecimento-geral,6-ref-interna-cidade-universitaria,7-ref-externa-campus,8-caminho-trajetória-roteiro,9-manipular-imagens,10-busca-listas-elencaçoes-clusters,11-links-site-integra-daquele-ano,12-tarefa-não-papel,Método_agregado,autor_raw,macro_raw,micro_raw,explicação_raw,interna_raw,tem_texto?,tem_explicação?,tem_macro?,é_papel?,ano,revisar?,rotulado_metodo,link,2017_respostas,2016_observaçao,2015_dificuldade,prompt,prompt_pista,macro_depara
ML_2015_00040,-ad.jdjtdpt -gm.mtp1,,,,,,,,,,,,,,,Mari,ICB,Barracas de lanche,"Traduzindo as letras para numeros (usando teclado alfanumerico) chegamos em coordenadas que levam a uma rua de SP com o nome de um professor que estudou no ICB. Usando o Street View, no local indicado tem uma barraca de lanche, como no ICB3",Externa,TRUE,TRUE,TRUE,,2015,,,,,,3,"||Pista: -ad.jdjtdpt -gm.mtp1 | Explicação: Traduzindo as letras para numeros (usando teclado alfanumerico) chegamos em coordenadas que levam a uma rua de SP com o nome de um professor que estudou no ICB. Usando o Street View, no local indicado tem uma barraca de lanche, como no ICB3 | Macro: ICB | Micro: Barracas de lanche",||Pista: -ad.jdjtdpt -gm.mtp1,ICB
ML_2023_00013,,,,,,,,,,,,,,,,Maua,Bandeco Central,Entrada,Separa RGB e morse,,FALSE,TRUE,TRUE,,2023,,,pista 12.png,,,,||Pista:  | Explicação: Separa RGB e morse | Macro: Bandeco Central | Micro: Entrada,,CRUSP
ML_2019_00179,"-Esse bixe chate, alá rabetania, indo pra saída fechada.
 -Li que a 3 fechava, como eu ia saber que a 4 e a 5 fechavam juntas?
 -Pera lá, Tânia não, é a mãe dele. 
 -Essa geração, até faz jus ante bixos. No meu ano, a primeira palavra bastava pra mandar no bixo, lá em 14.",,,,,,,,,,,,,,,,POLI,Golf 14,"3 fechava = terceira palavra = chate. 4 e a 5 fechavam juntas = Ala + rabetania = Alarabetania. ""Tania não"" = alarabe. Chate Alárabe é um rio. Faz ""jus ante"" = jusante = onde o rio desemboca, e ele desemboca no Golfo Pérsico. ""Primeira palavra bastava"" = Golfo. ""la em 14"" = golf(o) 14, portão da POLI que dá na raia. ""Po,li"" e ""saída fechada"" são para confirmação de referência",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: -Esse bixe chate, alá rabetania, indo pra saída fechada.
 -Li que a 3 fechava, como eu ia saber que a 4 e a 5 fechavam juntas?
 -Pera lá, Tânia não, é a mãe dele. 
 -Essa geração, até faz jus ante bixos. No meu ano, a primeira palavra bastava pra mandar no bixo, lá em 14. | Explicação: 3 fechava = terceira palavra = chate. 4 e a 5 fechavam juntas = Ala + rabetania = Alarabetania. ""Tania não"" = alarabe. Chate Alárabe é um rio. Faz ""jus ante"" = jusante = onde o rio desemboca, e ele desemboca no Golfo Pérsico. ""Primeira palavra bastava"" = Golfo. ""la em 14"" = golf(o) 14, portão da POLI que dá na raia. ""Po,li"" e ""saída fechada"" são para confirmação de referência | Macro: POLI | Micro: Golf 14","||Pista: -Esse bixe chate, alá rabetania, indo pra saída fechada.
 -Li que a 3 fechava, como eu ia saber que a 4 e a 5 fechavam juntas?
 -Pera lá, Tânia não, é a mãe dele. 
 -Essa geração, até faz jus ante bixos. No meu ano, a primeira palavra bastava pra mandar no bixo, lá em 14.",Poli sem Poli Quimica
ML_2023_00015,,,,,,,,,,,,,,,,Maua,HU,Semaforo,"transformar as letras com a1z26, somar e voltar a letras",,FALSE,TRUE,TRUE,,2023,,,pista 14.png,,,,"||Pista:  | Explicação: transformar as letras com a1z26, somar e voltar a letras | Macro: HU | Micro: Semaforo",,HU
ML_2019_00048,"-Quando nos vimos, ele parecia um pouco diferente...
 Foi o que disse ao entrevistador pois não queria falar a verdade completa. Pensei, ponderei, e depois contei o que realmente presenciei.
 - Tá, ele estava MUITO estranho, andava de um lado para o outro, com a cabeça abaixada, balbuciando alguma coisa, eu não sei!
 - Se você olhar para essa foto, você consegue se lembrar melhor?
 - I SCREAM MAN!",,,,,,,,,,,,,,,,BIO,CARRINHO DE SORVETE,"Ice cream man - o sorveteiro- ""carrinho de sorvete"" no estacionas da bio , na parte de baixo do bolsão, perto da ADM. Morse para BIO.",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: -Quando nos vimos, ele parecia um pouco diferente...
 Foi o que disse ao entrevistador pois não queria falar a verdade completa. Pensei, ponderei, e depois contei o que realmente presenciei.
 - Tá, ele estava MUITO estranho, andava de um lado para o outro, com a cabeça abaixada, balbuciando alguma coisa, eu não sei!
 - Se você olhar para essa foto, você consegue se lembrar melhor?
 - I SCREAM MAN! | Explicação: Ice cream man - o sorveteiro- ""carrinho de sorvete"" no estacionas da bio , na parte de baixo do bolsão, perto da ADM. Morse para BIO. | Macro: BIO | Micro: CARRINHO DE SORVETE","||Pista: -Quando nos vimos, ele parecia um pouco diferente...
 Foi o que disse ao entrevistador pois não queria falar a verdade completa. Pensei, ponderei, e depois contei o que realmente presenciei.
 - Tá, ele estava MUITO estranho, andava de um lado para o outro, com a cabeça abaixada, balbuciando alguma coisa, eu não sei!
 - Se você olhar para essa foto, você consegue se lembrar melhor?
 - I SCREAM MAN!",Bio
ML_2017_00104,.mov.mpeg.mkv.mp4.wmv.asf.flv.m4v.qt.avi,,,,,,,,,,,,,,,Rossi,IP,Sala de computadores,As extensões estão presentes em cada um dos nomes dos episódios da 1ª temporada da série Mr. Robot. O protagonista é engenheiro de cibersegurança com transtornos psicológicos -> IP + computadores,Externa,TRUE,TRUE,TRUE,,2017,,,,Sala de computadores - IP,,,||Pista: .mov.mpeg.mkv.mp4.wmv.asf.flv.m4v.qt.avi | Explicação: As extensões estão presentes em cada um dos nomes dos episódios da 1ª temporada da série Mr. Robot. O protagonista é engenheiro de cibersegurança com transtornos psicológicos -> IP + computadores | Macro: IP | Micro: Sala de computadores,||Pista: .mov.mpeg.mkv.mp4.wmv.asf.flv.m4v.qt.avi,Psico
ML_2015_00050,"""- Dilma, Lula! Aonde vocês vão?
 - Você já sabe a resposta, companheiro...""",,,,,,,,,,,,,,,Bracco,BIÊNIO,Porta do Anfiteatro Vermelho,A própria pista diz exatamente o local onde a próxima se encontra: no vão. Dilma e Lula associam à vermelho.,Externa,TRUE,TRUE,TRUE,,2015,,,,,,4,"||Pista: ""- Dilma, Lula! Aonde vocês vão?
 - Você já sabe a resposta, companheiro..."" | Explicação: A própria pista diz exatamente o local onde a próxima se encontra: no vão. Dilma e Lula associam à vermelho. | Macro: BIÊNIO | Micro: Porta do Anfiteatro Vermelho","||Pista: ""- Dilma, Lula! Aonde vocês vão?
 - Você já sabe a resposta, companheiro...""",Poli sem Poli Quimica
ML_2015_00018,"""A turma de 62 largou daqui"" - Edward Mordake",,,,,,,,,,,,,,,Duas,RUA DO MATÃO,"Placa ""Homenagem a turma de 62""","Edward Mordake = Duas Caras = CAM = GP
 A pista está em uma placa escrito ""homenagem a turma de 62"", próxima a largada do GP.",Externa,TRUE,TRUE,TRUE,,2015,,,,,,4,"||Pista: ""A turma de 62 largou daqui"" - Edward Mordake | Explicação: Edward Mordake = Duas Caras = CAM = GP
 A pista está em uma placa escrito ""homenagem a turma de 62"", próxima a largada do GP. | Macro: RUA DO MATÃO | Micro: Placa ""Homenagem a turma de 62""","||Pista: ""A turma de 62 largou daqui"" - Edward Mordake",Rua do Matão
ML_2019_00058,"""dois tlipés, no difelente"" ""tá bom, cenourinha""",,,,,,,,,,,,,,,,Psico,Placa de vaga de deficiente,"Tripé remete a placa de idoso (parece uma pessoa com 3 pernas), enquanto o diferente seria a placa a direita, de deficiente. A conversa faz referência a uma conversa entre o cebolinha e o louco, portanto psico",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: ""dois tlipés, no difelente"" ""tá bom, cenourinha"" | Explicação: Tripé remete a placa de idoso (parece uma pessoa com 3 pernas), enquanto o diferente seria a placa a direita, de deficiente. A conversa faz referência a uma conversa entre o cebolinha e o louco, portanto psico | Macro: Psico | Micro: Placa de vaga de deficiente","||Pista: ""dois tlipés, no difelente"" ""tá bom, cenourinha""",Psico
ML_2023_00021,,,,,,,,,,,,,,,,Mapa,CDI,Escada,Gráfico de escada da taxa Selic. Selic remete a CDI,,FALSE,TRUE,TRUE,,2023,,,pista 20.png,,,,||Pista:  | Explicação: Gráfico de escada da taxa Selic. Selic remete a CDI | Macro: CDI | Micro: Escada,,CDI
ML_2019_00240,"""É a décima vez que o senhor apresenta essa atitude intotiente!"" disse Rhonda
 ""Nunca foi minha intenção ser um ferrão no seu gasoduto professor...."" respondeu Príncipe Dakkar",,,,,,,,,,,,,,,,Raia,"Ferro amarelo que marca canos de gás, ao lado do ponto de ônibus no número 122 da raia","Príncipe Dakkar é o Capitão Nemo do 20 mil leguas submarinas
 Sting-Rhonda é o professor do Procurando Nemo, que é uma Raia
 ferrão está na pista para confirmar até aqui
 intotiente=não totiente que é uma série de Euler
 o décimo número intotiente é o 122
 gasoduto é referente a nano
 Referências:
 https://en.wikipedia.org/wiki/Noncototient
 https://disney.fandom.com/wiki/Mr._Ray
 https://pt.wikipedia.org/wiki/Capit%C3%A3o_Nemo
 https://www.independent.co.uk/arts-entertainment/films/news/finding-dory-to-feature-disney-pixar-first-transgender-character-ellen-degeneres-stingray-a7081056.html
 https://pt.wikipedia.org/wiki/N%C3%BAmero_n%C3%A3o_totiente",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: ""É a décima vez que o senhor apresenta essa atitude intotiente!"" disse Rhonda
 ""Nunca foi minha intenção ser um ferrão no seu gasoduto professor...."" respondeu Príncipe Dakkar | Explicação: Príncipe Dakkar é o Capitão Nemo do 20 mil leguas submarinas
 Sting-Rhonda é o professor do Procurando Nemo, que é uma Raia
 ferrão está na pista para confirmar até aqui
 intotiente=não totiente que é uma série de Euler
 o décimo número intotiente é o 122
 gasoduto é referente a nano
 Referências:
 https://en.wikipedia.org/wiki/Noncototient
 https://disney.fandom.com/wiki/Mr._Ray
 https://pt.wikipedia.org/wiki/Capit%C3%A3o_Nemo
 https://www.independent.co.uk/arts-entertainment/films/news/finding-dory-to-feature-disney-pixar-first-transgender-character-ellen-degeneres-stingray-a7081056.html
 https://pt.wikipedia.org/wiki/N%C3%BAmero_n%C3%A3o_totiente | Macro: Raia | Micro: Ferro amarelo que marca canos de gás, ao lado do ponto de ônibus no número 122 da raia","||Pista: ""É a décima vez que o senhor apresenta essa atitude intotiente!"" disse Rhonda
 ""Nunca foi minha intenção ser um ferrão no seu gasoduto professor...."" respondeu Príncipe Dakkar",Raia
ML_2020_00107,"""Knowledge's power"" - Emberwood, Anne.",,,,,,,,,,,,,,,,Brasiliana,Transformador,"Emberwood, Anne > ~""Brasa madeira"" > Pau-brasil, Anna > Brasiliana
 

 Knowledge > Conhecimento > Biblioteca
 

 Power pode ser traduzido como ""força"" ou ""energia"" > Estação de transformadores
 

 Estação de transformadores em frente à Biblioteca Brasiliana",,TRUE,TRUE,TRUE,,2020,,,,,,,"||Pista: ""Knowledge's power"" - Emberwood, Anne. | Explicação: Emberwood, Anne > ~""Brasa madeira"" > Pau-brasil, Anna > Brasiliana
 

 Knowledge > Conhecimento > Biblioteca
 

 Power pode ser traduzido como ""força"" ou ""energia"" > Estação de transformadores
 

 Estação de transformadores em frente à Biblioteca Brasiliana | Macro: Brasiliana | Micro: Transformador","||Pista: ""Knowledge's power"" - Emberwood, Anne.",Brasiliana
ML_2017_00033,"""Na extinção só há combustão"", avisou o craqueamento.",,,,,,,,,,,,,,,Zagattinho,Antigo Posto,Placa de só onibus entre o antigo posto e o dinossauro,"Extinção - dinossauro da FE, combustão - combustivel - posto, craqueamento - meio de formação do petróleo, só - só onibus - placa",externa,TRUE,TRUE,TRUE,,2017,,,,Placa de só onibus entre educação e antigo posto,,,"||Pista: ""Na extinção só há combustão"", avisou o craqueamento. | Explicação: Extinção - dinossauro da FE, combustão - combustivel - posto, craqueamento - meio de formação do petróleo, só - só onibus - placa | Macro: Antigo Posto | Micro: Placa de só onibus entre o antigo posto e o dinossauro","||Pista: ""Na extinção só há combustão"", avisou o craqueamento.",#N/A
ML_2014_00004,"""Que puta floresta"" ""Calma, não seja ansioso""",,,,,,,,,,,,,,,,Floresta de compensação ambiental do outro lado da biblioteca da química,Placa,Um dia ali vai ser uma grande floresta,,TRUE,TRUE,TRUE,,2014,,,,,,,"||Pista: ""Que puta floresta"" ""Calma, não seja ansioso"" | Explicação: Um dia ali vai ser uma grande floresta | Macro: Floresta de compensação ambiental do outro lado da biblioteca da química | Micro: Placa","||Pista: ""Que puta floresta"" ""Calma, não seja ansioso""",Químicas
ML_2022_00016,"""Quem ama,"" -TibAA",,,,,,,,,,,,,,,,Educação,"Megaa lanches, foodtruck","A frase em parenteses leva pra Quem Ama, educa de isami tiba. Tibaa é referencia ao micro, Megaa lanches com o a duplicado",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: ""Quem ama,"" -TibAA | Explicação: A frase em parenteses leva pra Quem Ama, educa de isami tiba. Tibaa é referencia ao micro, Megaa lanches com o a duplicado | Macro: Educação | Micro: Megaa lanches, foodtruck","||Pista: ""Quem ama,"" -TibAA",Faculdade de Educação
ML_2017_00162,"""Tchau preguiça, tchau sujeira, adeus cheirinho de suor!"" diziam, mas não cantando!",,,,,,,,,,,,,,,Zagattinho,Raia,Coberto onde a rateria treina,"Música do ratinho do castelo Rá Tim Bum, que direciona a rato, mas não cantando, ou seja, tocando!",Externa,TRUE,TRUE,TRUE,,2017,,,,Local de Treino da Rateria na Raia,,,"||Pista: ""Tchau preguiça, tchau sujeira, adeus cheirinho de suor!"" diziam, mas não cantando! | Explicação: Música do ratinho do castelo Rá Tim Bum, que direciona a rato, mas não cantando, ou seja, tocando! | Macro: Raia | Micro: Coberto onde a rateria treina","||Pista: ""Tchau preguiça, tchau sujeira, adeus cheirinho de suor!"" diziam, mas não cantando!",Raia
ML_2023_00028,"Dele vem as fundações do sudoku, agora basta ir ao correio para a cadeira otomana",,,,,,,,,,,,,,,Dinei,-,-,Fundações do sudoku -> jogo semelhante criado por Euler; correio é mail; cadeira otomana é CO -> e-mail pra CO,,TRUE,TRUE,FALSE,FALSE,2023,,,,,,,"||Pista: Dele vem as fundações do sudoku, agora basta ir ao correio para a cadeira otomana | Explicação: Fundações do sudoku -> jogo semelhante criado por Euler; correio é mail; cadeira otomana é CO -> e-mail pra CO | Macro: - | Micro: -",,#N/A
ML_2020_00141,"""Vamos atravessar aqui no meio do nada?""
 ""É melhor irmos por trás! São só 30 metros""",,,,,,,,,,,,,,,,IME,Placa de pedestre no meio do mato,"É melhor irmos por trás > iniciais de trás pra frente dão IME
 Atrás do IME, tem uma placa de ""travessia de pedestres na faixa a 30m"", largada no que parece ser no meio do nada, pois não tem rua
 Placa de pedestre no meio do mato no IME",,TRUE,TRUE,TRUE,,2020,,,,,,,"||Pista: ""Vamos atravessar aqui no meio do nada?""
 ""É melhor irmos por trás! São só 30 metros"" | Explicação: É melhor irmos por trás > iniciais de trás pra frente dão IME
 Atrás do IME, tem uma placa de ""travessia de pedestres na faixa a 30m"", largada no que parece ser no meio do nada, pois não tem rua
 Placa de pedestre no meio do mato no IME | Macro: IME | Micro: Placa de pedestre no meio do mato","||Pista: ""Vamos atravessar aqui no meio do nada?""
 ""É melhor irmos por trás! São só 30 metros""",IME
ML_2022_00162,"""Who loves...""",,,,,,,,,,,,,,,,CRUSP,CARE,"Quem ama, cuida -> Who loves, cares -> care",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: ""Who loves..."" | Explicação: Quem ama, cuida -> Who loves, cares -> care | Macro: CRUSP | Micro: CARE","||Pista: ""Who loves...""",CRUSP
ML_2023_00031,Tem que forçar muito para ir do E para o R,,,,,,,,,,,,,,,Dinei,IF,Caixa de força entre travessa E e R,,,TRUE,FALSE,TRUE,,2023,,,,,,,,,IF
ML_2019_00155,"(qujqni,sspqeu)+(equino,equino)=",,,,,,,,,,,,,,,,POLI Minas,Orelhão Minas,"de cada letra eu subtraio a localização do cavalo (-235568,-467342)",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: (qujqni,sspqeu)+(equino,equino)= | Explicação: de cada letra eu subtraio a localização do cavalo (-235568,-467342) | Macro: POLI Minas | Micro: Orelhão Minas","||Pista: (qujqni,sspqeu)+(equino,equino)=",Poli sem Poli Quimica
ML_2019_00169,"(rrxyk,jumlxq)+(equin,equino)=",,,,,,,,,,,,,,,,FOFITO,Poste FOFITO,"de cada letra eu subtraio a localização do cavalo (-235568,-467342)",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: (rrxyk,jumlxq)+(equin,equino)= | Explicação: de cada letra eu subtraio a localização do cavalo (-235568,-467342) | Macro: FOFITO | Micro: Poste FOFITO","||Pista: (rrxyk,jumlxq)+(equin,equino)=",FOFITO
ML_2020_00156,(S2...UU)-UZ S2DQTTUUC,,,,,,,,,,,,,,,,Nev,,"U=1, D=2, T=3...S1=6, S2=7...N=9 > (7...11)-10 724 23 21 5 > de 7 a 11 menos 10 = 78911 / 23 = 33 (dois ""três""s) 21=11 (dois uns) > 7891172433115 > código de barras do papel higiênico NEVE, só jogar no google que aparece)",,TRUE,TRUE,TRUE,,2020,,,,,,,"||Pista: (S2...UU)-UZ S2DQTTUUC | Explicação: U=1, D=2, T=3...S1=6, S2=7...N=9 > (7...11)-10 724 23 21 5 > de 7 a 11 menos 10 = 78911 / 23 = 33 (dois ""três""s) 21=11 (dois uns) > 7891172433115 > código de barras do papel higiênico NEVE, só jogar no google que aparece) | Macro: Nev | Micro: ",||Pista: (S2...UU)-UZ S2DQTTUUC,NEV
